Program Graduates,Designation (Category),Designation (Subcategory),Designation ({}),Designation (#),Description
Bachelor's Degree,COMPETENCES,General competences,BC,1,"Perform written and informal communications and reports in their national language, and possibly English."
Bachelor's Degree,COMPETENCES,General competences,BC,2,"Work effectively as part of a team, and to sustain creative collaboration with their colleagues."
Bachelor's Degree,COMPETENCES,General competences,BC,3,"Work independently within the framework of their professional qualifications, and have a commitment to professional development throughout their career."
Bachelor's Degree,COMPETENCES,General competences,BC,4,"Understand the basic laws of natural sciences, including classical physics, chemistry, atomic and nuclear physics."
Bachelor's Degree,COMPETENCES,General competences,BC,5,"Understand the basic approaches for acquiring, storing and processing knowledge, information and data; be familiar with standard computer code packages, including computer aided graphics and design."
Bachelor's Degree,COMPETENCES,Specific competences,BC,6,"Conduct mathematical analysis and numerical simulation, and theoretical and experimental investigations in nuclear engineering."
Bachelor's Degree,COMPETENCES,Specific competences,BC,7,Conduct mathematical simulation of processes in components of nuclear power plants; apply standard methods and computer codes for design and analysis.
Bachelor's Degree,COMPETENCES,Specific competences,BC,8,"Perform radiation protection and measurement experiments, and analyse resulting experimental data."
Bachelor's Degree,COMPETENCES,Specific competences,BC,9,"Have a commitment to safety and an understanding of safety culture (including, for example, risk analysis and management, human factor engineering, and human–machine interface)."
Bachelor's Degree,COMPETENCES,Specific competences,BC,10,Understand the regulatory process and the role of the regulator in power plant licensing and operation.
Bachelor's Degree,COMPETENCES,Specific competences,BC,11,"Participate in the design process of the principal system and components of nuclear power plants or other nuclear facilities, accounting for environmental and safety requirements, and incorporating new requirements and technologies."
Bachelor's Degree,REQUIREMENTS,Knowledge,B1,1,"Basics of analytical geometry and linear algebra, differential and integral calculus, probability and statistics, vector analysis, basics of differential equations and partial differential equation systems."
Bachelor's Degree,REQUIREMENTS,Knowledge,B1,2,"Basics of mechanics, oscillations and waves, thermodynamics, electrical and magnetic phenomena, statistical physics, physics of the atomic nucleus, and optics."
Bachelor's Degree,REQUIREMENTS,Knowledge,B1,3,"Neutron transport theory, thermal hydraulics, applications of computer code systems for mathematical simulation of thermophysical and neutronics analysis."
Bachelor's Degree,REQUIREMENTS,Knowledge,B1,4,"Basic laws of heat and mass exchange in power equipment units of nuclear power plants, requirements for heat transfer and heat removal systems, thermophysical processes in heat exchangers."
Bachelor's Degree,REQUIREMENTS,Knowledge,B1,5,"Thermodynamic principles, types and operation of steam turbines, calculation of efficiency, reliability, operation and maintenance."
Bachelor's Degree,REQUIREMENTS,Knowledge,B1,6,"Materials properties, strength of materials, and materials requirements for nuclear power plants."
Bachelor's Degree,REQUIREMENTS,Knowledge,B1,7,"Numerical analysis of power reactors, reactor materials, the principal parameters associated with nuclear power plant operation, research and power reactors, and the basic dynamics of nuclear reactors."
Bachelor's Degree,REQUIREMENTS,Knowledge,B1,8,"The general role of control systems in nuclear reactors. Linear control systems. Operation of control rods, and burnable and soluble poisons."
Bachelor's Degree,REQUIREMENTS,Knowledge,B1,9,"The classifications of nuclear power plants, the main components, including coolant loops, steam generators, steam turbines, the main reactor coolant circuitry and auxiliary systems."
Bachelor's Degree,REQUIREMENTS,Knowledge,B1,10,"Reliability and safety of nuclear power plant operation, understanding plants as a component of a regional or national electricity grid."
Bachelor's Degree,REQUIREMENTS,Knowledge,B1,11,"The main parts of the nuclear fuel cycle. The open and closed fuel cycles. Radioactive waste, categories of waste, and treatment options, conditioning, reprocessing and final disposal."
Bachelor's Degree,REQUIREMENTS,Knowledge,B1,12,Basic principles of radiation protection. Methods for detecting ionizing radiation. Hazards of radioactive materials. Concepts and definitions of radiation and dose units. Short term and long term biological effects of ionizing radiation. The principle of as low as reasonably achievable (ALARA).
Bachelor's Degree,REQUIREMENTS,Knowledge,B1,13,The regulatory environment for the operation of nuclear power plants. The role of the regulator. The responsibilities of nuclear power plant staff for safety.
Bachelor's Degree,REQUIREMENTS,Knowledge,B1,14,"Risks from the diversion of nuclear material, the basic principles of nuclear safeguards. The Treaty on the Non-Proliferation of Nuclear Weapons (NPT) and other international agreements. The role of the International Atomic Energy Agency and other international organizations."
Bachelor's Degree,REQUIREMENTS,Demonstration,B2,1,"Through examination, conduct analysis of technical and scientific problems, to reach relevant and accurate conclusions based on the analysis."
Bachelor's Degree,REQUIREMENTS,Demonstration,B2,2,Solve problems for real processes and determine technical solutions using current computational resources.
Bachelor's Degree,REQUIREMENTS,Demonstration,B2,3,"Develop designs for new applications utilizing fundamental scientific, mathematical and engineering principles."
Bachelor's Degree,REQUIREMENTS,Implementation,B3,1,"Analytical and numerical methodologies for the analysis of reactor physics, thermal hydraulic and electrical systems for analysing boundary value problems."
Bachelor's Degree,REQUIREMENTS,Implementation,B3,2,"Methodologies for planning and conducting experiments, and evaluating experimental errors."
Bachelor's Degree,REQUIREMENTS,Implementation,B3,3,"Technical documents and publications, handbooks and other information resources."
Bachelor's Degree,REQUIREMENTS,Implementation,B3,4,Computing techniques to solve special problems.
Bachelor's Degree,REQUIREMENTS,Implementation,B3,5,"Ability to design nuclear power plant systems, including neutronics and core analysis, and heat transport electrical generation systems."
Bachelor's Degree,REQUIREMENTS,Implementation,B3,6,Methodologies for ensuring the environmental safety of nuclear facilities.
Master’s Degree,COMPETENCES,General competences,MC,1,"Written and spoken English in professional and international settings, employing technically advanced terminology used in the nuclear power industry."
Master’s Degree,COMPETENCES,General competences,MC,2,Ability to work collaboratively within a team and to exercise effective leadership of that team with good management skills while working towards a well defined goal.
Master’s Degree,COMPETENCES,General competences,MC,3,"Ability to work independently, identify new directions and demonstrate decision making capabilities within their sphere of expertise, and to have a commitment to professional development through their career."
Master’s Degree,COMPETENCES,Specific competences,MC,4,"Understand thoroughly the basic and advanced laws of atomic and nuclear physics, chemistry and the relevant engineering sciences applicable to nuclear power plant technology."
Master’s Degree,COMPETENCES,Specific competences,MC,5,Be able to perform advanced mathematical analysis and numerical simulation of the various physics and engineering processes and systems in a nuclear power plant.
Master’s Degree,COMPETENCES,Specific competences,MC,6,"Understand data acquisition, storage and processing using recognized and accepted computer codes in the nuclear industry."
Master’s Degree,COMPETENCES,Specific competences,MC,7,"Be able to perform theoretical, numerical and experimental methodologies for the analysis of thermophysical processes."
Master’s Degree,COMPETENCES,Specific competences,MC,8,"Use reactor experiments to characterize the basic physics in a nuclear reactor, by understanding and analysing the resulting data."
Master’s Degree,COMPETENCES,Specific competences,MC,9,"Understand nuclear power plant systems, with all the principal components."
Master’s Degree,COMPETENCES,Specific competences,MC,10,Design relevant systems by synthesizing the collective knowledge gained in all relevant disciplines.
Master’s Degree,COMPETENCES,Specific competences,MC,11,Be committed to safety and understand safety culture.
Master’s Degree,COMPETENCES,Specific competences,MC,12,"Understand the regulatory process, the role of the regulator in nuclear power plant licensing and operation, and the main regulatory requirements for a nuclear power plant."
Master’s Degree,REQUIREMENTS,Knowledge,M1,1,"Advanced concepts of differential and integral calculus, probability theory and mathematical statistics, theory of functions of complex variables, vector and harmonic analysis, differential equations and partial differential equation systems, Green’s functions, and advanced mathematical analysis. "
Master’s Degree,REQUIREMENTS,Knowledge,M1,2,"Electrical and magnetic phenomena, quantum mechanics and statistical physics, and physics of atomic nucleus."
Master’s Degree,REQUIREMENTS,Knowledge,M1,3,Neutron transport theory and Monte Carlo analysis.
Master’s Degree,REQUIREMENTS,Knowledge,M1,4,"Basic elements of reactor experiments, approach to critical, measurement of reactor parameters, feedback mechanisms, analysis of data and the relationship to reactor theory."
Master’s Degree,REQUIREMENTS,Knowledge,M1,5,"Laws of heat and mass exchange, and the characterization of thermophysical processes in heat exchangers, steam generators and safety systems for heat removal in nuclear power plants."
Master’s Degree,REQUIREMENTS,Knowledge,M1,6,"Methods for detection of ionizing radiation, principles and design of radiation shielding, utilization of the ALARA principle and the health effects of ionizing radiation."
Master’s Degree,REQUIREMENTS,Knowledge,M1,7,Structural analysis of complex systems.
Master’s Degree,REQUIREMENTS,Knowledge,M1,8,"Use of information technology and numerical analyses, problem definition, and evaluation of results."
Master’s Degree,REQUIREMENTS,Knowledge,M1,9,"The various types of nuclear power plant systems, the principal components and their roles."
Master’s Degree,REQUIREMENTS,Knowledge,M1,10,"The role and importance of reactor safety, and the practices and procedures in a nuclear power plant to ensure safe operation."
Master’s Degree,REQUIREMENTS,Knowledge,M1,11,"The components of the nuclear fuel cycle, the open and the closed fuel cycles, classifications of waste, handling, storage and disposal of the various types of radioactive waste, short term and long term biological effects of ionizing radiation."
Master’s Degree,REQUIREMENTS,Knowledge,M1,12,"Issues of nuclear non-proliferation, the role of safeguards, the NPT and other international agreements, and the role of the International Atomic Energy Agency."
Master’s Degree,REQUIREMENTS,Knowledge,M1,13,"Concepts of physical protection of nuclear installations, nuclear security applied to nuclear material, radioactive sources and nuclear facilities."
Master’s Degree,REQUIREMENTS,Knowledge,M1,14,"Principles of project management, and the utilization of these principles in an industrial organization."
Master’s Degree,REQUIREMENTS,Knowledge,M1,15,"The role of the regulatory authority, and how regulations are implemented and followed in a nuclear power plant."
Master’s Degree,REQUIREMENTS,Knowledge,M1,16,"Awareness of the technical and regulatory literature relating to nuclear power plants and their operation, familiarity of how to access and evaluate reports and articles."
Master’s Degree,REQUIREMENTS,Demonstration,M2,1,Draw from the technical literature and develop independent analyses for nuclear power plant technology related problems.
Master’s Degree,REQUIREMENTS,Demonstration,M2,2,"Calculate main characteristics of random values, to solve the problems as applied to any real processes."
Master’s Degree,REQUIREMENTS,Demonstration,M2,3,Develop mathematical models of thermophysical and neutronic processes in nuclear power facilities.
Master’s Degree,REQUIREMENTS,Demonstration,M2,4,"Utilize recognized and accepted computer codes to determine technical solutions, and evaluate the validity of those solutions."
Master’s Degree,REQUIREMENTS,Demonstration,M2,5,Develop designs for new technical devices with accounting for the requirements previously defined.
Master’s Degree,REQUIREMENTS,Demonstration,M2,6,"Carry out testing of the main components in nuclear power plants, and perform technical analysis of the operation of these components."
Master’s Degree,REQUIREMENTS,Demonstration,M2,7,Develop the methodologies for safety upgrading of nuclear technologies.
Master’s Degree,REQUIREMENTS,Demonstration,M2,8,Develop projects meeting technical requirements and standards as needed in a nuclear power plant.
Master’s Degree,REQUIREMENTS,Demonstration,M2,9,"Perform economic analyses for new procedures, systems or strategies that might be used in a nuclear power plant."
Master’s Degree,REQUIREMENTS,Demonstration,M2,10,"Develop management strategies for carrying out the mission of a nuclear power plant to generate electricity in a safe, economical and secure way."
Master’s Degree,REQUIREMENTS,Implementation,M3,1,Design and implement the realization of new products or systems with application to nuclear plants.
Master’s Degree,REQUIREMENTS,Implementation,M3,2,"Design and implement the realization of new products or systems with application to radioprotection, nuclear safety, and nuclear security."
Master’s Degree,REQUIREMENTS,Implementation,M3,3,"Design and realize new rules or processes for improving the management, the quality and the safety within a nuclear environment."
Master’s Degree,REQUIREMENTS,Implementation,M3,4,Use technical English as applicable to a nuclear power plant and its associated technology.
Master’s Degree,REQUIREMENTS,Implementation,M3,5,"Use analytical and numerical methodologies for solving algebraic and differential equations, and for processing experimental data."
Master’s Degree,REQUIREMENTS,Implementation,M3,6,Use methodologies for theoretical and numerical studies of thermophysical and neutronic processes.
Master’s Degree,REQUIREMENTS,Implementation,M3,7,"Use current computing techniques for solving special problems. These include standard computer code packages, various and finite difference methodologies for solving second order ordinary differential equations, and for the solution of boundary value stationary problems, and the evaluation of experimental errors."
Master’s Degree,REQUIREMENTS,Implementation,M3,8,"Methodologies for planning and conducting experiments, for the fabrication of experimental installations, and for the organization of research and development studies."
Master’s Degree,REQUIREMENTS,Implementation,M3,9,"Use technical documents and publications, progress reports, handbooks and other information resources."
Master’s Degree,REQUIREMENTS,Implementation,M3,10,Use methodologies for the design of components for nuclear power plants.
Master’s Degree,REQUIREMENTS,Implementation,M3,11,"Apply project management skills to carry out collaborative efforts with other team members, for assessing the quality and efficiency of the personnel, and upgrading personnel performance."
Master’s Degree,REQUIREMENTS,Implementation,M3,12,"Use organizational and managerial decision tools, including knowledge management, to achieve optimum outcomes with respect to quality, reliability, economy, safety and the protection of the environment."
Master’s Degree,REQUIREMENTS,Implementation,M3,13,Be aware of legislative and regulatory requirements for the safe and environmentally sound operation of a nuclear power plant.
Master’s Degree,REQUIREMENTS,Implementation,M3,14,Use basic presentation and pedagogical skills.
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
